ocid,title,url
LLE001-UA-20241223-76308,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20241223-76308
LLE001-UA-20250127-56596,"ГОЛОВНИЙ  КОРПУС ЛІКАРНІ",https://prozorro.sale/auction/LLE001-UA-20250127-56596
LLE001-UA-20250204-55636,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20250204-55636
LLE001-ua-2025031939077,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-ua-2025031939077
LLE001-UA-20250320-48174,"КОТЕЛЬНЯ",https://prozorro.sale/auction/LLE001-UA-20250320-48174
LLE001-UA-20250508-29737,"РИНОК",https://prozorro.sale/auction/LLE001-UA-20250508-29737
LLE001-UA-20250516-64461,"БУДІВЛЯ МИЙКИ №4",https://prozorro.sale/auction/LLE001-UA-20250516-64461
LLEOO1-20241004-26305,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLEOO1-20241004-26305
№ LLE001-UA-20210816-70014,"СЛУЖБА ПРИГОТУВАННЯ ЇЖІ ЛІКАРНІ",№ LLE001-UA-20210816-70014
№ LLE001-UA-20240131-17722,"УЧБОВЕ ПРИМІЩЕННЯ",№ LLE001-UA-20240131-17722
RGL001-UA-20210125-83101,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №2"" ДАРНИЦЬКОГО РАЙОНУ М. КИЄВА",https://prozorro.sale/planning/RGL001-UA-20210125-83101
RGL001-UA-20210203-36875,"ШКОЛА N 73",https://prozorro.sale/planning/RGL001-UA-20210203-36875
RGL001-UA-20210203-42246,"офісні, вільне",https://prozorro.sale/planning/RGL001-UA-20210203-42246
RGL001-UA-20210204-37629,"офіс",https://prozorro.sale/planning/RGL001-UA-20210204-37629
RGL001-UA-20210204-43210,"офісне, об’єкт цивільної оборони (укриття) - 65,2 кв.м",https://prozorro.sale/planning/RGL001-UA-20210204-43210
RGL001-UA-20210204-83612,"ОФІС",https://prozorro.sale/planning/RGL001-UA-20210204-83612
RGL001-UA-20210205-03163,"вільні",https://prozorro.sale/planning/RGL001-UA-20210205-03163
RGL001-UA-20210208-89541,"приймальня депутата",https://prozorro.sale/planning/RGL001-UA-20210208-89541
RGL001-UA-20210210-48185,"МАЙСТЕРНЯ, вільне",https://prozorro.sale/planning/RGL001-UA-20210210-48185
RGL001-UA-20210210-53701,null,https://prozorro.sale/planning/RGL001-UA-20210210-53701
RGL001-UA-20210210-73775,"майстерня художника, вільне",https://prozorro.sale/planning/RGL001-UA-20210210-73775
RGL001-UA-20210210-84670,"бюджетна установа; 73,9 кв.м та 81,3 кв.м - об'єкт цивільної оборони (укриття)",https://prozorro.sale/planning/RGL001-UA-20210210-84670
RGL001-UA-20210211-07865,"ШКОЛА-ДИТЯЧИЙ САДОК N 621 ""КИЯНОЧКА""",https://prozorro.sale/planning/RGL001-UA-20210211-07865
RGL001-UA-20210212-00471,"ГО, заклад культури, вільне, власні потреби (майстерня)",https://prozorro.sale/planning/RGL001-UA-20210212-00471
RGL001-UA-20210212-52523,"бібліотека, ГО",https://prozorro.sale/planning/RGL001-UA-20210212-52523
RGL001-UA-20210212-95764,"вільні",https://prozorro.sale/planning/RGL001-UA-20210212-95764
RGL001-UA-20210215-42353,null,https://prozorro.sale/planning/RGL001-UA-20210215-42353
RGL001-UA-20210225-49866,"офіс, громадська організація",https://prozorro.sale/planning/RGL001-UA-20210225-49866
RGL001-UA-20210226-13453,"склад",https://prozorro.sale/planning/RGL001-UA-20210226-13453
RGL001-UA-20210226-25870,"офісне, власні потреби (побутове)",https://prozorro.sale/planning/RGL001-UA-20210226-25870
RGL001-UA-20210226-80378,"громадська організація та вільне",https://prozorro.sale/planning/RGL001-UA-20210226-80378
RGL001-UA-20210304-24343,"МУЗЕЙ",https://prozorro.sale/planning/RGL001-UA-20210304-24343
RGL001-UA-20210323-42510,"ШКОЛА N 95",https://prozorro.sale/planning/RGL001-UA-20210323-42510
RGL001-UA-20210324-62397,"ШКОЛА N 163",https://prozorro.sale/planning/RGL001-UA-20210324-62397
RGL001-UA-20210330-95439,"нежитлові приміщення в окремостоячій будівлі (нежитлові приміщення I.II.підвал; №1 по №6, I-поверх;№7по№21,II-поверх,(груп/прим.№20),літ.""А""(площею438,4 кв.м)",https://prozorro.sale/planning/RGL001-UA-20210330-95439
RGL001-UA-20210331-53580,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20210331-53580
RGL001-UA-20210419-27057,"Середня загальноосвітня школа І-ІІІ ступенів № 62",https://prozorro.sale/planning/RGL001-UA-20210419-27057
RGL001-UA-20210427-32771,"КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР ДИТЯЧИЙ",https://prozorro.sale/planning/RGL001-UA-20210427-32771
